"Year","Royal15","Summer","Countdown","Number.Campus.Visits.y","Award.Status","Total.Gift","Gross.Need","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Pop","Zip.Alumni.Density","HS.Size","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Final.Status","Made.Deposit","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator","FAFSA","Zip.Admits.TY","Zip.Admits.TY.Pct","App.Before.Nov","ACT.Low","ACT.High","GPA.Low","GPA.High","HSP.Low","HSP.High","Distance.Low","Distance.High"
"2014 Fall",0,0,0,0,"0",0,0,75.05,17.801,93.89,94,53,1078,0,0,0,0,0,0,0,0,0,0,11,"6.17942812201562",0,0,0,0,1,0,0,0,0
"2014 Fall",0,0,0,2,"0",0,0,48.182,5.341,88.84,14,26,318,0,0,0,0,0,0,1,0,0,0,5,"9.36154278225052",0,0,0,0,1,0,0,0,0
"2014 Fall",0,0,0,0,"0",0,0,52.65,2.878,97.64,3,10,83,0,0,0,0,0,0,0,0,0,0,1,"3.47463516330785",0,0,0,0,1,0,0,0,0
"2014 Fall",0,0,0,2,"1",16,0,67.734,46.812,90.24,98,21,NA,0,0,0,0,0,0,0,0,0,1,10,"2.13620439203623",0,0,0,0,1,0,0,0,0
"2014 Fall",0,1,0,3,"1",16,0,69.383,28.728,90.95,310,108,NA,0,0,0,1,1,1,0,0,0,1,16,"5.56947925368978",0,0,0,0,0,1,0,1,0
"2014 Fall",0,1,0,2,"0",0,0,69.383,28.728,90.95,310,108,NA,0,0,0,0,1,1,0,0,0,0,16,"5.56947925368978",0,0,0,0,0,1,0,1,0
"2014 Fall",0,1,0,1,"1",17.82,19.639,41.554,31.233,89.77,362,116,1671,0,0,0,0,1,1,1,0,0,1,24,"7.68418019402555",0,0,0,0,1,0,0,1,0
"2014 Fall",0,1,0,2,"1",17.54,18.449,48.178,29.469,95.82,105,36,NA,0,0,0,1,1,1,0,0,0,1,17,"5.76877396586243",0,1,0,1,0,1,0,0,0
"2014 Fall",1,0,0,0,"0",0,0,69.383,28.728,90.95,310,108,6335,0,0,0,0,0,0,0,1,1,0,16,"5.56947925368978",0,0,0,0,0,0,0,1,0
"2014 Fall",0,0,0,1,"0",0,0,57.331,6.338,94.32,76,120,413,0,1,0,0,0,0,0,0,0,0,12,"18.9334174818555",0,0,0,0,1,0,0,1,0
"2014 Fall",1,1,0,0,"0",0,0,55.219,2.441,98.53,24,98,404,0,0,0,1,1,1,0,0,1,0,3,"12.2900450634986",0,0,0,0,0,1,0,1,0
