"ID","Year","ACT","GPA","HS.Percentile","Date.App.Submitted","Date.App.Completed","Date.Deposited","Zip","Royal15","Cost.of.Attendance","Total.Gift","Total.Institutional.Gift","Gross.Need","Date.FAFSA.Received","Date.Award.Packaged","Date.CREDO.Invitation.Sent","Date.CREDO.Contract.Received","Distance.Mhd","Zip.Median.Income","Zip.Population","Zip.Pct.White","Zip.Alumni.Pop","Zip.Alumni.Density","HS.Size","Music.Interest","Athletic.Interest","Legacy.Relationship","Gender.Indicator","Final.Status","Ethnicity.Indicator","Lutheran.Indicator","Religious.Indicator"
"App ID-100371","2014 Fall",28,4,NA,"2013-12-22","2014-01-06",NA,56377,0,NA,0,0,0,NA,NA,NA,NA,149.24,75050,17801,0.9389,94,0.0053,1078,0,0,0,0,0,0,0,0
"App ID-100460","2014 Fall",27,3.95,NA,"2013-11-07",NA,NA,56763,0,NA,0,0,0,NA,NA,NA,NA,156.28,48182,5341,0.8884,14,0.0026,318,0,0,0,0,0,1,0,0
"App ID-100467","2014 Fall",26,3.93,NA,"2013-11-01",NA,NA,55768,0,NA,0,0,0,NA,NA,NA,NA,196.64,52650,2878,0.9764,3,0.001,83,0,0,0,0,0,0,0,0
"App ID-100483","2014 Fall",28,3.93,NA,"2013-11-11","2013-11-25",NA,55303,0,41484,16000,16000,0,"2014-02-25","2014-03-19","2014-03-10",NA,167.76,67734,46812,0.9024,98,0.0021,NA,0,0,0,0,0,0,0,0
"App ID-100553","2014 Fall",28,3.88,63,"2013-12-04","2014-01-06","2014-01-21",58078,0,41484,16000,16000,0,"2014-05-14","2014-06-11",NA,NA,6.17,69383,28728,0.9095,310,0.0108,NA,0,0,0,1,1,0,0,0
"App ID-100653","2014 Fall",25,3.51,43,"2013-11-11","2013-12-23","2014-03-20",58078,0,NA,0,0,0,NA,NA,NA,NA,6.17,69383,28728,0.9095,310,0.0108,NA,0,0,0,0,1,0,0,0
"App ID-100654","2014 Fall",26,3.95,88,"2013-11-25","2013-11-27","2014-03-31",58102,0,41484,17820,17820,19639,"2014-03-04","2014-04-07",NA,NA,2.66,41554,31233,0.8977,362,0.0116,1671,0,0,0,0,1,1,0,0
"App ID-100733","2014 Fall",23,2.68,46,"2014-02-17","2014-02-17","2014-03-04",56401,0,41484,17540,17540,18449,"2014-02-26","2014-03-19",NA,NA,128.09,48178,29469,0.9582,105,0.0036,NA,0,0,0,1,1,0,0,0
"App ID-101588","2014 Fall",31,3.88,NA,"2014-04-16",NA,NA,58078,1,NA,0,0,0,NA,NA,NA,NA,6.17,69383,28728,0.9095,310,0.0108,6335,0,0,0,0,0,0,1,1
"App ID-101717","2014 Fall",29,4,NA,"2013-11-25",NA,NA,56573,0,NA,0,0,0,NA,NA,NA,NA,59.25,57331,6338,0.9432,76,0.012,413,0,1,0,0,0,0,0,0
"App ID-101822","2014 Fall",29,3.67,67,"2014-04-14",NA,"2014-05-30",58045,1,NA,0,0,0,NA,NA,NA,NA,39.62,55219,2441,0.9853,24,0.0098,404,0,0,0,1,1,0,0,1
"App ID-102143","2014 Fall",29,3.44,58,"2013-10-30",NA,"2014-05-02",55744,0,41484,26080,21230,36433,"2014-02-26","2014-03-20",NA,NA,154.63,46796,20242,0.961,61,0.003,947,1,0,0,1,1,0,0,0
"App ID-102185","2014 Fall",21,3.51,NA,"2013-11-08","2013-12-03",NA,55033,0,NA,0,0,0,NA,NA,NA,NA,238.96,70281,29612,0.9469,35,0.0012,1452,1,0,0,0,0,0,0,0
"App ID-102637","2014 Fall",31,4,NA,"2013-11-25","2013-12-09","2014-01-20",57430,0,41484,17500,17500,15615,"2014-02-19","2014-03-17","2014-03-10",NA,87.53,56719,2226,0.982,3,0.0013,NA,1,0,0,0,0,0,0,0
"App ID-102646","2014 Fall",28,3.94,0,"2013-12-03","2013-12-09","2014-01-24",56362,0,41484,30720,20600,43765,"2014-03-18","2014-04-25","2014-03-10","2014-03-27",140.89,55396,5635,0.9886,22,0.0039,NA,0,0,0,0,1,0,0,0
"App ID-102798","2014 Fall",30,4,NA,"2013-12-02","2014-01-14",NA,55946,0,41484,18990,18990,19992,"2014-03-18","2014-03-21","2014-03-10",NA,255.52,57604,3219,0.9699,17,0.0053,230,0,0,0,0,0,0,0,0
"App ID-102809","2014 Fall",28,3.9,NA,"2013-11-18","2013-12-02",NA,68776,0,NA,0,0,0,NA,NA,NA,NA,303.68,42126,14899,0.626,NA,NA,NA,1,1,0,0,0,0,1,1
"App ID-102884","2014 Fall",21,3.03,NA,"2013-12-19","2014-01-06",NA,56515,0,NA,0,0,0,NA,NA,NA,NA,63.77,51731,3111,0.9576,36,0.0116,130,0,0,0,1,0,0,0,0
"App ID-102913","2014 Fall",19,3.29,NA,"2013-10-30",NA,NA,55362,0,NA,0,0,0,NA,NA,NA,NA,178.2,76161,19010,0.9317,41,0.0022,1087,0,0,0,0,0,0,0,0
"App ID-102915","2014 Fall",18,3.53,NA,"2013-10-30","2013-12-13",NA,58503,0,NA,0,0,0,NA,NA,NA,NA,189.02,77425,28439,0.9275,142,0.005,NA,0,0,0,0,0,0,0,1
"App ID-102919","2014 Fall",25,3.76,82,"2013-11-04","2013-12-31","2014-03-03",55334,0,41484,23826,21900,44224,"2014-03-13","2014-05-29",NA,NA,201.21,47368,2816,0.9673,2,7e-04,NA,0,0,0,0,1,0,0,0
"App ID-103025","2014 Fall",24,3.79,0,"2013-12-19",NA,"2014-04-08",55720,0,41484,26350,19380,31437,"2014-02-19","2014-06-25",NA,NA,202.67,50020,16754,0.8314,20,0.0012,NA,0,1,0,1,1,0,0,0
"App ID-103354","2014 Fall",28,3.81,NA,"2013-11-12","2013-11-12",NA,56425,0,NA,0,0,0,NA,NA,NA,NA,122.79,58310,7646,0.9912,71,0.0093,NA,0,0,0,1,0,0,0,0
"App ID-103356","2014 Fall",26,3.98,92,"2013-10-31",NA,"2014-02-27",58401,0,41484,0,0,649,"2014-03-04","2014-03-17",NA,NA,91.71,49515,17287,0.9498,47,0.0027,2185,0,0,0,0,1,0,0,0
"App ID-103390","2014 Fall",19,2.94,51,"2013-11-27",NA,"2014-05-07",55304,0,41484,25884,11140,44474,"2014-03-10","2014-04-23",NA,NA,200.45,92392,46901,0.9383,111,0.0024,2157,0,0,0,1,1,0,0,0
"App ID-103537","2014 Fall",20,3.31,NA,"2013-11-06",NA,NA,56031,0,41484,19020,19020,33619,"2014-02-18","2014-03-20",NA,NA,248.76,53636,12141,0.9795,14,0.0012,494,0,0,0,0,0,0,0,0
"App ID-103584","2014 Fall",21,3.79,NA,"2014-01-02","2014-01-27",NA,55446,0,41484,35356,30230,41032,"2014-02-25","2014-04-17",NA,NA,201.1,100777,21210,0.7743,112,0.0053,2070,0,1,0,0,0,0,0,0
"App ID-103988","2014 Fall",23,3.44,NA,"2014-02-03","2014-02-19",NA,54139,0,41484,32430,32430,40851,"2014-02-28","2014-04-17",NA,NA,438.21,55045,3165,0.964,NA,NA,NA,0,0,0,0,0,0,0,0
"App ID-104024","2014 Fall",23,3.42,64,"2013-11-01","2013-12-09","2014-03-31",56701,0,41484,20430,20430,32963,"2014-03-04","2014-03-19",NA,NA,90.74,47855,12691,0.9344,61,0.0048,NA,0,1,0,1,1,0,0,0
"App ID-104405","2014 Fall",30,3.48,NA,"2014-02-17","2014-02-19",NA,55422,0,NA,0,0,0,NA,NA,NA,NA,207.93,64179,28585,0.8073,93,0.0033,1789,0,0,0,0,0,0,0,0
"App ID-104454","2014 Fall",28,3.47,NA,"2014-02-12",NA,"2014-04-02",55378,0,41484,13500,13500,9282,"2014-02-20","2014-03-20",NA,NA,219.02,95024,28035,0.8301,77,0.0027,2154,0,0,0,0,0,0,0,0
"App ID-104569","2014 Fall",20,3.48,NA,"2014-04-08",NA,NA,56258,1,41484,0,0,40932,"2014-05-06",NA,NA,NA,173.52,49628,15523,0.8847,38,0.0024,NA,0,0,0,1,0,0,0,1
"App ID-104690","2014 Fall",21,3.56,NA,"2014-01-30","2014-02-21",NA,55355,0,41484,0,0,19700,"2014-03-25",NA,NA,NA,160.87,53723,9681,0.9721,50,0.0052,NA,0,0,0,1,0,0,0,0
"App ID-104703","2014 Fall",24,3.64,NA,"2013-12-13","2014-01-08",NA,55304,0,41484,19770,19770,29082,"2014-02-28","2014-03-20",NA,NA,200.45,92392,46901,0.9383,111,0.0024,1614,0,0,0,1,0,0,0,0
"App ID-104917","2014 Fall",32,3.67,0,"2013-11-19","2013-12-09","2014-01-21",80304,0,41484,29160,26680,42871,"2014-02-17","2014-03-31","2014-03-10","2014-03-26",635.17,77639,26471,0.9128,5,2e-04,NA,0,0,0,1,1,0,0,0
"App ID-105037","2014 Fall",20,3.16,45,"2013-12-17","2014-01-07","2014-02-25",56378,0,41484,20864,10120,44444,"2014-04-02","2014-04-15",NA,NA,117.03,53818,7935,0.9442,29,0.0037,439,0,1,0,1,1,0,0,0
"App ID-105091","2014 Fall",24,3.67,NA,"2014-01-06","2014-01-24",NA,56623,0,41484,19600,19600,24504,"2014-03-04","2014-03-20",NA,NA,160.35,42540,2454,0.9377,7,0.0029,NA,0,1,0,1,0,0,0,0
"App ID-105138","2015 Fall",26,3.91,77,"2014-12-11","2014-12-22",NA,58261,0,NA,0,0,0,NA,NA,NA,NA,102.59,61625,1202,0.8968,4,0.0033,215,0,0,0,0,0,0,0,0
"App ID-105141","2015 Fall",21,3.31,38,"2014-12-22","2015-01-05",NA,58261,0,NA,0,0,0,NA,NA,NA,NA,102.59,61625,1202,0.8968,4,0.0033,215,0,0,0,0,0,0,0,1
"App ID-105161","2014 Fall",23,3.75,NA,"2014-02-18","2014-02-24",NA,58503,0,NA,0,0,0,NA,NA,NA,NA,189.02,77425,28439,0.9275,142,0.005,NA,0,0,0,0,0,0,0,0
"App ID-105171","2014 Fall",22,3.37,NA,"2013-10-31",NA,NA,56001,0,NA,0,0,0,NA,NA,NA,NA,229.64,46354,47040,0.9093,56,0.0012,784,0,0,0,0,0,0,0,0
"App ID-105176","2014 Fall",20,3.22,NA,"2013-12-04",NA,NA,55420,0,NA,0,0,0,NA,NA,NA,NA,218.46,51150,22777,0.7306,41,0.0018,NA,0,0,0,0,0,1,0,0
"App ID-105193","2014 Fall",16,3.33,NA,"2014-01-03",NA,NA,55413,0,NA,0,0,0,NA,NA,NA,NA,212.26,45935,12852,0.7323,24,0.0019,NA,0,0,0,0,0,0,0,0
